ProductID,ProductName,Category,SupplierName,UnitPrice,QuantityInStock,UnitsPerOrder,ReorderLevel,ExpiryDate
1,Intrafix Safeset,infusion set,BBraun,0.90,100,100,10,2026-11-01
2,NaCl 0.9% 100ml,Fluids,BBraun,1.21,20,20,3,2027-01-01
3,Nacl 0.9% 250ml,Fluids,BBraun,1.26,10,10,3,2027-01-01
4,Vasofix Safety,Needle(22G),BBRaun,0.86,14,50,3,2027-12-01
5,Cosmopor I.V.,Dressing for securing IV cannula,Hartmann,0.54,23,50,3,2028-03-01
6,Transofix,transferset sterile fluids,BBraun,0.39,30,50,3,2028-10-01
7,VitaminC 7.5 gr,ampoule,Pascorbin,1,11.86,10,1,2025-05-01
8,ElectrolyteComplete,ampoule,ViktoriaApotheke,17.90,5,1,0,2025-04-21
9,Glutathion3000mg,ampoule,ArnikaManufaktur,48.90,6,1,0,2024-09-21
10,ATP Konzentrat,ampoule,ArnikaManufaktur,15,14,10,0,2025-01-10
